country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,,,,,15/2/20,4,3,-2,3,3,0
AU,Australia,,,,,16/2/20,3,5,9,3,-1,0
AU,Australia,,,,,17/2/20,-1,0,-6,7,17,-2
AU,Australia,,,,,18/2/20,-3,-2,-13,7,14,-1
AU,Australia,,,,,19/2/20,-1,-1,-6,8,13,-1
AU,Australia,,,,,20/2/20,0,1,5,9,13,-2
AU,Australia,,,,,21/2/20,3,4,-1,12,16,-3
AU,Australia,,,,,22/2/20,5,4,10,8,3,-1
AU,Australia,,,,,23/2/20,3,4,9,4,-2,0
AU,Australia,,,,,24/2/20,-1,1,-10,8,17,-1
AU,Australia,,,,,25/2/20,-3,-1,-8,10,15,-1
AU,Australia,,,,,26/2/20,-1,0,-5,10,14,-1
AU,Australia,,,,,27/2/20,0,1,-2,10,14,-1
AU,Australia,,,,,28/2/20,4,6,0,14,17,-3
AU,Australia,,,,,29/2/20,6,6,18,11,4,-1
AU,Australia,,,,,1/3/20,4,7,20,6,-1,0
AU,Australia,,,,,2/3/20,0,5,-1,6,10,0
AU,Australia,,,,,3/3/20,-2,7,-14,9,15,-1
AU,Australia,,,,,4/3/20,0,12,-15,7,14,-1
AU,Australia,,,,,5/3/20,-2,9,-19,6,13,0
AU,Australia,,,,,6/3/20,3,14,-6,9,16,-2
AU,Australia,,,,,7/3/20,3,12,10,3,2,0
AU,Australia,,,,,8/3/20,3,8,14,0,-2,0
AU,Australia,,,,,9/3/20,-3,3,5,-9,-14,4
AU,Australia,,,,,10/3/20,-2,9,-11,6,13,-1
AU,Australia,,,,,11/3/20,-1,8,-2,6,14,-1
AU,Australia,,,,,12/3/20,-1,11,2,6,13,-1
AU,Australia,,,,,13/3/20,1,17,-8,5,14,-1
AU,Australia,,,,,14/3/20,-1,20,-15,-10,3,2
AU,Australia,,,,,15/3/20,-2,24,-8,-13,-1,2
AU,Australia,,,,,16/3/20,-1,33,-18,-7,12,1
AU,Australia,,,,,17/3/20,-5,35,-21,-14,5,3
AU,Australia,,,,,18/3/20,-7,32,-15,-18,2,5
AU,Australia,,,,,19/3/20,-10,25,-9,-22,0,5
AU,Australia,,,,,20/3/20,-12,20,-12,-22,0,6
AU,Australia,,,,,21/3/20,-17,11,-9,-28,-4,7
AU,Australia,,,,,22/3/20,-18,10,-11,-34,-12,6
AU,Australia,,,,,23/3/20,-17,17,-27,-36,-6,8
AU,Australia,,,,,24/3/20,-30,4,-30,-45,-19,12
AU,Australia,,,,,25/3/20,-31,2,-33,-50,-23,14
AU,Australia,,,,,26/3/20,-34,2,-23,-53,-27,16
AU,Australia,,,,,27/3/20,-35,2,-30,-53,-26,17
AU,Australia,,,,,28/3/20,-41,-9,-34,-53,-27,15
AU,Australia,,,,,29/3/20,-45,-19,-35,-58,-33,13
AU,Australia,,,,,30/3/20,-39,-13,-35,-59,-32,16
AU,Australia,,,,,31/3/20,-41,-13,-35,-59,-36,18
AU,Australia,,,,,1/4/20,-40,-13,-36,-60,-37,19
AU,Australia,,,,,2/4/20,-42,-13,-42,-63,-38,20
AU,Australia,,,,,3/4/20,-40,-7,-41,-61,-36,20
AU,Australia,,,,,4/4/20,-44,-14,-52,-61,-33,17
AU,Australia,,,,,5/4/20,-44,-18,-43,-62,-36,14
AU,Australia,,,,,6/4/20,-37,-12,-35,-61,-37,17
AU,Australia,,,,,7/4/20,-38,-10,-39,-61,-39,19
AU,Australia,,,,,8/4/20,-35,-6,-38,-61,-39,19
AU,Australia,,,,,9/4/20,-28,15,-31,-59,-40,18
AU,Australia,,,,,10/4/20,-76,-55,-43,-77,-82,33
AU,Australia,,,,,11/4/20,-40,-2,-51,-63,-41,18
AU,Australia,,,,,12/4/20,-58,-38,-42,-64,-43,15
AU,Australia,,,,,13/4/20,-45,-23,-18,-73,-78,27
AU,Australia,,,,,14/4/20,-37,-7,-35,-61,-42,19
AU,Australia,,,,,15/4/20,-37,-10,-31,-60,-41,20
AU,Australia,,,,,16/4/20,-39,-8,-27,-60,-41,20
AU,Australia,,,,,17/4/20,-37,-4,-33,-59,-39,20
AU,Australia,,,,,18/4/20,-43,-11,-42,-55,-30,16
AU,Australia,,,,,19/4/20,-45,-17,-35,-58,-34,14
AU,Australia,,,,,20/4/20,-39,-14,-35,-60,-35,17
AU,Australia,,,,,21/4/20,-39,-13,-31,-58,-37,18
AU,Australia,,,,,22/4/20,-38,-12,-28,-58,-37,18
AU,Australia,,,,,23/4/20,-39,-9,-26,-58,-37,19
AU,Australia,,,,,24/4/20,-36,-2,-27,-56,-35,18
AU,Australia,,,,,25/4/20,-52,-28,-30,-56,-43,17
AU,Australia,,,,,26/4/20,-36,-3,-34,-55,-32,13
AU,Australia,,,,,27/4/20,-36,-10,-27,-60,-39,17
AU,Australia,,,,,28/4/20,-36,-10,-37,-57,-34,16
AU,Australia,,,,,29/4/20,-38,-13,-41,-58,-34,11
AU,Australia,,,,,30/4/20,-39,-8,-43,-60,-34,18
AU,Australia,,,,,1/5/20,-35,-3,-42,-56,-31,18
AU,Australia,,,,,2/5/20,-33,-1,-38,-51,-27,13
AU,Australia,,,,,3/5/20,-34,-6,-20,-52,-29,11
AU,Australia,,,,,4/5/20,-39,-17,-24,-58,-41,17
AU,Australia,,,,,5/5/20,-32,-3,-33,-55,-31,16
AU,Australia,,,,,6/5/20,-33,-6,-30,-55,-31,16
AU,Australia,,,,,7/5/20,-32,-2,-25,-54,-31,16
AU,Australia,,,,,8/5/20,-29,5,-23,-51,-28,16
AU,Australia,,,,,9/5/20,-25,13,-32,-46,-23,12
AU,Australia,,,,,10/5/20,-29,-4,-16,-46,-24,9
AU,Australia,,,,,11/5/20,-31,-7,-26,-53,-27,14
AU,Australia,,,,,12/5/20,-31,-4,-30,-52,-28,15
AU,Australia,,,,,13/5/20,-31,-5,-28,-52,-27,15
AU,Australia,,,,,14/5/20,-31,-4,-24,-52,-28,15
AU,Australia,,,,,15/5/20,-29,2,-26,-50,-27,15
AU,Australia,,,,,16/5/20,-26,3,-14,-41,-22,9
AU,Australia,,,,,17/5/20,-26,-3,0,-45,-24,8
AU,Australia,,,,,18/5/20,-26,-4,-25,-51,-24,13
AU,Australia,,,,,19/5/20,-28,-3,-27,-51,-25,14
AU,Australia,,,,,20/5/20,-27,-3,-27,-51,-25,15
AU,Australia,,,,,21/5/20,-28,-3,-33,-52,-26,15
AU,Australia,,,,,22/5/20,-25,5,-33,-49,-23,14
AU,Australia,,,,,23/5/20,-23,5,-32,-42,-19,10
AU,Australia,,,,,24/5/20,-27,-3,-23,-47,-23,9
AU,Australia,,,,,25/5/20,-25,-4,-30,-50,-22,12
AU,Australia,,,,,26/5/20,-26,-2,-27,-47,-20,12
AU,Australia,,,,,27/5/20,-24,-2,-21,-46,-20,13
AU,Australia,,,,,28/5/20,-24,-1,-14,-45,-20,13
AU,Australia,,,,,29/5/20,-23,5,-25,-44,-19,12
AU,Australia,,,,,30/5/20,-20,5,-7,-35,-14,8
AU,Australia,,,,,31/5/20,-23,-1,-7,-42,-18,8
AU,Australia,,,,,1/6/20,-22,-5,-24,-48,-24,12
AU,Australia,,,,,2/6/20,-23,-2,-33,-46,-18,12
AU,Australia,,,,,3/6/20,-20,-2,-20,-44,-18,12
AU,Australia,,,,,4/6/20,-20,-1,-13,-44,-18,11
AU,Australia,,,,,5/6/20,-16,6,-13,-40,-17,10
AU,Australia,,,,,6/6/20,-15,3,2,-31,-14,6
AU,Australia,,,,,7/6/20,-17,-4,1,-40,-18,5
AU,Australia,,,,,8/6/20,-15,-3,17,-55,-52,14
AU,Australia,,,,,9/6/20,-19,0,-24,-44,-18,10
AU,Australia,,,,,10/6/20,-20,-4,-32,-45,-17,11
AU,Australia,,,,,11/6/20,-19,-1,-14,-42,-16,11
AU,Australia,,,,,12/6/20,-16,3,-23,-40,-15,10
AU,Australia,Australian Capital Territory,,AU-ACT,,15/2/20,7,5,28,4,6,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,16/2/20,8,19,34,16,2,-2
AU,Australia,Australian Capital Territory,,AU-ACT,,17/2/20,-1,10,9,21,25,-4
AU,Australia,Australian Capital Territory,,AU-ACT,,18/2/20,-2,-1,-11,12,24,-2
AU,Australia,Australian Capital Territory,,AU-ACT,,19/2/20,2,9,12,17,22,-3
AU,Australia,Australian Capital Territory,,AU-ACT,,20/2/20,8,7,16,20,21,-4
AU,Australia,Australian Capital Territory,,AU-ACT,,21/2/20,9,6,51,24,25,-4
AU,Australia,Australian Capital Territory,,AU-ACT,,22/2/20,21,6,160,44,10,-4
AU,Australia,Australian Capital Territory,,AU-ACT,,23/2/20,11,19,61,25,3,-3
AU,Australia,Australian Capital Territory,,AU-ACT,,24/2/20,1,11,5,19,27,-3
AU,Australia,Australian Capital Territory,,AU-ACT,,25/2/20,1,3,4,13,25,-3
AU,Australia,Australian Capital Territory,,AU-ACT,,26/2/20,1,8,18,16,23,-3
AU,Australia,Australian Capital Territory,,AU-ACT,,27/2/20,7,7,18,22,21,-4
AU,Australia,Australian Capital Territory,,AU-ACT,,28/2/20,10,9,45,24,26,-4
AU,Australia,Australian Capital Territory,,AU-ACT,,29/2/20,16,12,87,26,10,-3
AU,Australia,Australian Capital Territory,,AU-ACT,,1/3/20,11,20,69,21,3,-2
AU,Australia,Australian Capital Territory,,AU-ACT,,2/3/20,1,13,13,19,27,-3
AU,Australia,Australian Capital Territory,,AU-ACT,,3/3/20,1,5,8,9,21,-2
AU,Australia,Australian Capital Territory,,AU-ACT,,4/3/20,-4,6,-36,2,22,0
AU,Australia,Australian Capital Territory,,AU-ACT,,5/3/20,1,6,-31,11,20,-2
AU,Australia,Australian Capital Territory,,AU-ACT,,6/3/20,3,15,20,19,23,-4
AU,Australia,Australian Capital Territory,,AU-ACT,,7/3/20,5,8,83,12,4,-3
AU,Australia,Australian Capital Territory,,AU-ACT,,8/3/20,2,7,48,2,0,-3
AU,Australia,Australian Capital Territory,,AU-ACT,,9/3/20,-4,13,76,-25,-72,10
AU,Australia,Australian Capital Territory,,AU-ACT,,10/3/20,-1,10,1,8,23,-3
AU,Australia,Australian Capital Territory,,AU-ACT,,11/3/20,0,13,18,8,22,-2
AU,Australia,Australian Capital Territory,,AU-ACT,,12/3/20,4,13,17,16,20,-3
AU,Australia,Australian Capital Territory,,AU-ACT,,13/3/20,5,20,31,12,25,-2
AU,Australia,Australian Capital Territory,,AU-ACT,,14/3/20,5,26,13,-4,8,2
AU,Australia,Australian Capital Territory,,AU-ACT,,15/3/20,3,29,47,3,3,0
AU,Australia,Australian Capital Territory,,AU-ACT,,16/3/20,-1,40,1,2,23,0
AU,Australia,Australian Capital Territory,,AU-ACT,,17/3/20,-3,33,-7,-12,17,1
AU,Australia,Australian Capital Territory,,AU-ACT,,18/3/20,-5,42,2,-15,12,3
AU,Australia,Australian Capital Territory,,AU-ACT,,19/3/20,-2,37,3,-12,10,3
AU,Australia,Australian Capital Territory,,AU-ACT,,20/3/20,-7,32,17,-14,11,5
AU,Australia,Australian Capital Territory,,AU-ACT,,21/3/20,-9,25,52,-20,1,4
AU,Australia,Australian Capital Territory,,AU-ACT,,22/3/20,-11,25,44,-26,-8,4
AU,Australia,Australian Capital Territory,,AU-ACT,,23/3/20,-14,33,-7,-25,4,7
AU,Australia,Australian Capital Territory,,AU-ACT,,24/3/20,-30,9,-7,-44,-18,14
AU,Australia,Australian Capital Territory,,AU-ACT,,25/3/20,-33,12,-5,-47,-23,16
AU,Australia,Australian Capital Territory,,AU-ACT,,26/3/20,-32,9,8,-48,-28,17
AU,Australia,Australian Capital Territory,,AU-ACT,,27/3/20,-36,15,4,-50,-27,20
AU,Australia,Australian Capital Territory,,AU-ACT,,28/3/20,-38,4,25,-47,-24,13
AU,Australia,Australian Capital Territory,,AU-ACT,,29/3/20,-40,-3,38,-52,-31,11
AU,Australia,Australian Capital Territory,,AU-ACT,,30/3/20,-42,1,-18,-54,-34,18
AU,Australia,Australian Capital Territory,,AU-ACT,,31/3/20,-42,-5,-7,-58,-42,20
AU,Australia,Australian Capital Territory,,AU-ACT,,1/4/20,-41,1,0,-57,-45,22
AU,Australia,Australian Capital Territory,,AU-ACT,,2/4/20,-44,-7,-43,-64,-47,23
AU,Australia,Australian Capital Territory,,AU-ACT,,3/4/20,-41,5,-21,-60,-44,25
AU,Australia,Australian Capital Territory,,AU-ACT,,4/4/20,-42,1,-31,-60,-32,15
AU,Australia,Australian Capital Territory,,AU-ACT,,5/4/20,-39,-3,-7,-61,-36,13
AU,Australia,Australian Capital Territory,,AU-ACT,,6/4/20,-40,3,-6,-55,-45,20
AU,Australia,Australian Capital Territory,,AU-ACT,,7/4/20,-40,-2,-11,-58,-46,21
AU,Australia,Australian Capital Territory,,AU-ACT,,8/4/20,-38,10,-18,-60,-47,22
AU,Australia,Australian Capital Territory,,AU-ACT,,9/4/20,-27,30,-11,-56,-48,20
AU,Australia,Australian Capital Territory,,AU-ACT,,10/4/20,-74,-28,-26,-78,-87,38
AU,Australia,Australian Capital Territory,,AU-ACT,,11/4/20,-38,11,-22,-61,-40,15
AU,Australia,Australian Capital Territory,,AU-ACT,,12/4/20,-52,-24,41,-55,-44,13
AU,Australia,Australian Capital Territory,,AU-ACT,,13/4/20,-45,-5,32,-70,-84,29
AU,Australia,Australian Capital Territory,,AU-ACT,,14/4/20,-40,-1,-11,-61,-50,22
AU,Australia,Australian Capital Territory,,AU-ACT,,15/4/20,-38,8,16,-58,-49,23
AU,Australia,Australian Capital Territory,,AU-ACT,,16/4/20,-37,6,-3,-57,-49,22
AU,Australia,Australian Capital Territory,,AU-ACT,,17/4/20,-37,12,15,-56,-46,24
AU,Australia,Australian Capital Territory,,AU-ACT,,18/4/20,-39,-6,47,-45,-26,13
AU,Australia,Australian Capital Territory,,AU-ACT,,19/4/20,-41,-12,49,-52,-36,11
AU,Australia,Australian Capital Territory,,AU-ACT,,20/4/20,-43,-11,-14,-54,-46,20
AU,Australia,Australian Capital Territory,,AU-ACT,,21/4/20,-42,-15,-2,-56,-46,21
AU,Australia,Australian Capital Territory,,AU-ACT,,22/4/20,-41,-10,14,-55,-46,22
AU,Australia,Australian Capital Territory,,AU-ACT,,23/4/20,-39,-13,6,-53,-47,21
AU,Australia,Australian Capital Territory,,AU-ACT,,24/4/20,-39,-3,25,-51,-44,23
AU,Australia,Australian Capital Territory,,AU-ACT,,25/4/20,-45,-11,49,-49,-42,14
AU,Australia,Australian Capital Territory,,AU-ACT,,26/4/20,-39,-9,-26,-57,-36,12
AU,Australia,Australian Capital Territory,,AU-ACT,,27/4/20,-40,-2,64,-65,-80,26
AU,Australia,Australian Capital Territory,,AU-ACT,,28/4/20,-41,-13,-7,-53,-42,19
AU,Australia,Australian Capital Territory,,AU-ACT,,29/4/20,-47,-17,-56,-61,-45,17
AU,Australia,Australian Capital Territory,,AU-ACT,,30/4/20,-43,-14,-52,-61,-45,22
AU,Australia,Australian Capital Territory,,AU-ACT,,1/5/20,-43,-9,-47,-59,-41,24
AU,Australia,Australian Capital Territory,,AU-ACT,,2/5/20,-32,6,-19,-46,-25,12
AU,Australia,Australian Capital Territory,,AU-ACT,,3/5/20,-33,-1,59,-45,-27,9
AU,Australia,Australian Capital Territory,,AU-ACT,,4/5/20,-38,-4,-6,-51,-40,18
AU,Australia,Australian Capital Territory,,AU-ACT,,5/5/20,-39,-9,-3,-52,-41,19
AU,Australia,Australian Capital Territory,,AU-ACT,,6/5/20,-37,-3,4,-51,-41,20
AU,Australia,Australian Capital Territory,,AU-ACT,,7/5/20,-37,-9,-2,-50,-41,19
AU,Australia,Australian Capital Territory,,AU-ACT,,8/5/20,-34,0,22,-48,-37,20
AU,Australia,Australian Capital Territory,,AU-ACT,,9/5/20,-25,10,-10,-41,-20,10
AU,Australia,Australian Capital Territory,,AU-ACT,,10/5/20,-30,-2,49,-41,-24,6
AU,Australia,Australian Capital Territory,,AU-ACT,,11/5/20,-38,-9,-10,-49,-37,17
AU,Australia,Australian Capital Territory,,AU-ACT,,12/5/20,-38,-8,-12,-53,-37,19
AU,Australia,Australian Capital Territory,,AU-ACT,,13/5/20,-37,-3,-4,-51,-37,19
AU,Australia,Australian Capital Territory,,AU-ACT,,14/5/20,-34,-2,11,-49,-37,17
AU,Australia,Australian Capital Territory,,AU-ACT,,15/5/20,-34,-2,26,-49,-35,19
AU,Australia,Australian Capital Territory,,AU-ACT,,16/5/20,-24,4,50,-37,-18,8
AU,Australia,Australian Capital Territory,,AU-ACT,,17/5/20,-26,1,84,-43,-24,7
AU,Australia,Australian Capital Territory,,AU-ACT,,18/5/20,-32,-3,-3,-46,-31,15
AU,Australia,Australian Capital Territory,,AU-ACT,,19/5/20,-33,-7,-7,-50,-30,16
AU,Australia,Australian Capital Territory,,AU-ACT,,20/5/20,-33,-3,-28,-52,-31,18
AU,Australia,Australian Capital Territory,,AU-ACT,,21/5/20,-30,-3,-1,-46,-32,17
AU,Australia,Australian Capital Territory,,AU-ACT,,22/5/20,-29,-2,-2,-46,-28,18
AU,Australia,Australian Capital Territory,,AU-ACT,,23/5/20,-22,3,-22,-40,-15,9
AU,Australia,Australian Capital Territory,,AU-ACT,,24/5/20,-24,-1,55,-43,-21,7
AU,Australia,Australian Capital Territory,,AU-ACT,,25/5/20,-30,-5,-9,-43,-27,14
AU,Australia,Australian Capital Territory,,AU-ACT,,26/5/20,-30,-7,-8,-47,-25,15
AU,Australia,Australian Capital Territory,,AU-ACT,,27/5/20,-29,-2,1,-46,-26,16
AU,Australia,Australian Capital Territory,,AU-ACT,,28/5/20,-25,2,12,-42,-25,14
AU,Australia,Australian Capital Territory,,AU-ACT,,29/5/20,-24,0,22,-41,-22,15
AU,Australia,Australian Capital Territory,,AU-ACT,,30/5/20,-18,1,57,-30,-8,6
AU,Australia,Australian Capital Territory,,AU-ACT,,31/5/20,-21,-5,51,-41,-14,5
AU,Australia,Australian Capital Territory,,AU-ACT,,1/6/20,-26,2,-9,-63,-75,21
AU,Australia,Australian Capital Territory,,AU-ACT,,2/6/20,-26,-5,-13,-42,-20,13
AU,Australia,Australian Capital Territory,,AU-ACT,,3/6/20,-24,-1,5,-39,-21,14
AU,Australia,Australian Capital Territory,,AU-ACT,,4/6/20,-22,-2,-1,-40,-21,13
AU,Australia,Australian Capital Territory,,AU-ACT,,5/6/20,-20,-1,18,-38,-20,12
AU,Australia,Australian Capital Territory,,AU-ACT,,6/6/20,-16,-2,52,-32,-10,4
AU,Australia,Australian Capital Territory,,AU-ACT,,7/6/20,-18,-10,39,-41,-17,4
AU,Australia,Australian Capital Territory,,AU-ACT,,8/6/20,-20,3,71,-60,-77,17
AU,Australia,Australian Capital Territory,,AU-ACT,,9/6/20,-26,-4,-18,-41,-20,12
AU,Australia,Australian Capital Territory,,AU-ACT,,10/6/20,-25,-3,-6,-40,-19,13
AU,Australia,Australian Capital Territory,,AU-ACT,,11/6/20,-20,1,-4,-38,-19,12
AU,Australia,Australian Capital Territory,,AU-ACT,,12/6/20,-18,1,8,-35,-15,13
AU,Australia,New South Wales,,AU-NSW,,15/2/20,4,5,1,10,3,-1
AU,Australia,New South Wales,,AU-NSW,,16/2/20,5,6,13,6,-1,0
AU,Australia,New South Wales,,AU-NSW,,17/2/20,-2,0,-17,6,17,-1
AU,Australia,New South Wales,,AU-NSW,,18/2/20,-3,-2,-11,7,14,-2
AU,Australia,New South Wales,,AU-NSW,,19/2/20,-2,-1,-2,8,14,-2
AU,Australia,New South Wales,,AU-NSW,,20/2/20,2,1,4,9,15,-2
AU,Australia,New South Wales,,AU-NSW,,21/2/20,1,2,-2,10,17,-3
AU,Australia,New South Wales,,AU-NSW,,22/2/20,4,6,-6,8,3,-1
AU,Australia,New South Wales,,AU-NSW,,23/2/20,3,6,7,1,-1,0
AU,Australia,New South Wales,,AU-NSW,,24/2/20,-1,1,-5,7,17,-2
AU,Australia,New South Wales,,AU-NSW,,25/2/20,-3,-2,-4,9,15,-2
AU,Australia,New South Wales,,AU-NSW,,26/2/20,-3,-2,-3,7,14,-1
AU,Australia,New South Wales,,AU-NSW,,27/2/20,3,3,4,10,15,-2
AU,Australia,New South Wales,,AU-NSW,,28/2/20,3,5,3,12,18,-4
AU,Australia,New South Wales,,AU-NSW,,29/2/20,6,9,13,15,4,-2
AU,Australia,New South Wales,,AU-NSW,,1/3/20,4,9,27,4,0,-1
AU,Australia,New South Wales,,AU-NSW,,2/3/20,-1,5,-7,7,18,-2
AU,Australia,New South Wales,,AU-NSW,,3/3/20,-4,6,-27,6,15,-1
AU,Australia,New South Wales,,AU-NSW,,4/3/20,-3,14,-30,2,13,0
AU,Australia,New South Wales,,AU-NSW,,5/3/20,-3,7,-38,2,14,1
AU,Australia,New South Wales,,AU-NSW,,6/3/20,2,14,-11,6,17,-2
AU,Australia,New South Wales,,AU-NSW,,7/3/20,3,15,-1,5,4,0
AU,Australia,New South Wales,,AU-NSW,,8/3/20,2,11,-1,-7,0,1
AU,Australia,New South Wales,,AU-NSW,,9/3/20,-2,8,-17,4,16,0
AU,Australia,New South Wales,,AU-NSW,,10/3/20,-4,6,-15,1,13,-1
AU,Australia,New South Wales,,AU-NSW,,11/3/20,-4,7,-5,2,13,-1
AU,Australia,New South Wales,,AU-NSW,,12/3/20,0,10,4,2,13,-1
AU,Australia,New South Wales,,AU-NSW,,13/3/20,-1,14,-1,1,14,-2
AU,Australia,New South Wales,,AU-NSW,,14/3/20,-5,14,-35,-14,1,2
AU,Australia,New South Wales,,AU-NSW,,15/3/20,-3,21,-16,-17,-2,3
