country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,Tasmania,,AU-TAS,,11/5/20,-42,-18,-66,-55,-19,12
AU,Australia,Tasmania,,AU-TAS,,12/5/20,-43,-17,-67,-56,-23,14
AU,Australia,Tasmania,,AU-TAS,,13/5/20,-39,-14,-59,-53,-21,14
AU,Australia,Tasmania,,AU-TAS,,14/5/20,-38,-14,-50,-54,-19,13
AU,Australia,Tasmania,,AU-TAS,,15/5/20,-37,-12,-53,-54,-20,14
AU,Australia,Tasmania,,AU-TAS,,16/5/20,-34,-18,-55,-56,-24,12
AU,Australia,Tasmania,,AU-TAS,,17/5/20,-39,-18,-59,-61,-24,11
AU,Australia,Tasmania,,AU-TAS,,18/5/20,-35,-15,-60,-52,-16,11
AU,Australia,Tasmania,,AU-TAS,,19/5/20,-36,-15,-55,-53,-18,12
AU,Australia,Tasmania,,AU-TAS,,20/5/20,-35,-16,-61,-54,-19,13
AU,Australia,Tasmania,,AU-TAS,,21/5/20,-33,-13,-46,-53,-18,13
AU,Australia,Tasmania,,AU-TAS,,22/5/20,-32,-11,-49,-51,-17,13
AU,Australia,Tasmania,,AU-TAS,,23/5/20,-27,-15,-54,-52,-22,10
AU,Australia,Tasmania,,AU-TAS,,24/5/20,-34,-15,-60,-59,-24,10
AU,Australia,Tasmania,,AU-TAS,,25/5/20,-32,-13,-61,-45,-12,10
AU,Australia,Tasmania,,AU-TAS,,26/5/20,-33,-15,-56,-47,-13,10
AU,Australia,Tasmania,,AU-TAS,,27/5/20,-30,-13,-54,-46,-12,11
AU,Australia,Tasmania,,AU-TAS,,28/5/20,-30,-12,-47,-45,-11,11
AU,Australia,Tasmania,,AU-TAS,,29/5/20,-30,-9,-54,-47,-11,12
AU,Australia,Tasmania,,AU-TAS,,30/5/20,-25,-15,-53,-49,-20,10
AU,Australia,Tasmania,,AU-TAS,,31/5/20,-32,-15,-62,-57,-21,10
AU,Australia,Tasmania,,AU-TAS,,1/6/20,-32,-14,-64,-46,-8,9
AU,Australia,Tasmania,,AU-TAS,,2/6/20,-32,-13,-56,-46,-11,10
AU,Australia,Tasmania,,AU-TAS,,3/6/20,-29,-12,-55,-44,-10,10
AU,Australia,Tasmania,,AU-TAS,,4/6/20,-27,-10,-46,-45,-9,10
AU,Australia,Tasmania,,AU-TAS,,5/6/20,-26,-8,-57,-48,-10,10
AU,Australia,Tasmania,,AU-TAS,,6/6/20,-21,-13,-41,-51,-18,7
AU,Australia,Tasmania,,AU-TAS,,7/6/20,-25,-19,-38,-55,-20,7
AU,Australia,Tasmania,,AU-TAS,,8/6/20,-34,-18,-37,-59,-66,16
AU,Australia,Tasmania,,AU-TAS,,9/6/20,-26,-10,-55,-41,-9,8
AU,Australia,Tasmania,,AU-TAS,,10/6/20,-26,-13,-53,-44,-7,9
AU,Australia,Tasmania,,AU-TAS,,11/6/20,-26,-9,-51,-44,-7,9
AU,Australia,Tasmania,,AU-TAS,,12/6/20,-26,-9,-62,-47,-7,10
AU,Australia,Victoria,,AU-VIC,,15/2/20,3,3,-22,1,3,1
AU,Australia,Victoria,,AU-VIC,,16/2/20,3,4,2,0,-2,0
AU,Australia,Victoria,,AU-VIC,,17/2/20,-1,1,26,11,18,-3
AU,Australia,Victoria,,AU-VIC,,18/2/20,-6,-6,-27,5,13,0
AU,Australia,Victoria,,AU-VIC,,19/2/20,-2,-2,-17,6,13,-1
AU,Australia,Victoria,,AU-VIC,,20/2/20,-1,0,-2,9,14,-2
AU,Australia,Victoria,,AU-VIC,,21/2/20,8,2,-4,13,15,-3
AU,Australia,Victoria,,AU-VIC,,22/2/20,7,4,23,18,4,-1
AU,Australia,Victoria,,AU-VIC,,23/2/20,4,4,19,8,-3,-1
AU,Australia,Victoria,,AU-VIC,,24/2/20,-1,2,9,10,17,-2
AU,Australia,Victoria,,AU-VIC,,25/2/20,-2,-2,-9,10,14,-1
AU,Australia,Victoria,,AU-VIC,,26/2/20,0,2,-2,10,14,-2
AU,Australia,Victoria,,AU-VIC,,27/2/20,0,1,0,12,15,-2
AU,Australia,Victoria,,AU-VIC,,28/2/20,9,4,-2,16,16,-3
AU,Australia,Victoria,,AU-VIC,,29/2/20,7,6,22,16,5,-1
AU,Australia,Victoria,,AU-VIC,,1/3/20,4,7,8,6,-2,0
AU,Australia,Victoria,,AU-VIC,,2/3/20,0,6,8,14,19,-2
AU,Australia,Victoria,,AU-VIC,,3/3/20,0,7,-5,11,15,-2
AU,Australia,Victoria,,AU-VIC,,4/3/20,2,15,-11,11,14,-2
AU,Australia,Victoria,,AU-VIC,,5/3/20,-2,11,-28,10,13,0
AU,Australia,Victoria,,AU-VIC,,6/3/20,8,16,-6,12,13,-3
AU,Australia,Victoria,,AU-VIC,,7/3/20,3,14,18,10,0,-1
AU,Australia,Victoria,,AU-VIC,,8/3/20,4,8,28,12,-5,-2
AU,Australia,Victoria,,AU-VIC,,9/3/20,3,6,88,-32,-65,11
AU,Australia,Victoria,,AU-VIC,,10/3/20,-1,11,0,9,12,-1
AU,Australia,Victoria,,AU-VIC,,11/3/20,-1,13,6,8,14,-1
AU,Australia,Victoria,,AU-VIC,,12/3/20,-1,15,8,10,13,-1
AU,Australia,Victoria,,AU-VIC,,13/3/20,2,22,-20,5,13,0
AU,Australia,Victoria,,AU-VIC,,14/3/20,1,30,-11,-2,4,3
AU,Australia,Victoria,,AU-VIC,,15/3/20,-2,32,-14,-12,-3,3
AU,Australia,Victoria,,AU-VIC,,16/3/20,0,45,9,-3,11,0
AU,Australia,Victoria,,AU-VIC,,17/3/20,-5,37,-10,-16,3,4
AU,Australia,Victoria,,AU-VIC,,18/3/20,-10,30,-17,-24,-1,6
AU,Australia,Victoria,,AU-VIC,,19/3/20,-15,21,-19,-28,-4,7
AU,Australia,Victoria,,AU-VIC,,20/3/20,-12,16,-24,-29,-4,7
AU,Australia,Victoria,,AU-VIC,,21/3/20,-19,7,-18,-31,-5,8
AU,Australia,Victoria,,AU-VIC,,22/3/20,-21,8,-36,-42,-14,8
AU,Australia,Victoria,,AU-VIC,,23/3/20,-19,14,-21,-43,-11,9
AU,Australia,Victoria,,AU-VIC,,24/3/20,-36,-6,-30,-56,-28,16
AU,Australia,Victoria,,AU-VIC,,25/3/20,-37,-4,-37,-60,-31,17
AU,Australia,Victoria,,AU-VIC,,26/3/20,-39,-5,-23,-63,-35,19
AU,Australia,Victoria,,AU-VIC,,27/3/20,-39,-6,-27,-62,-36,20
AU,Australia,Victoria,,AU-VIC,,28/3/20,-46,-14,-32,-59,-29,17
AU,Australia,Victoria,,AU-VIC,,29/3/20,-51,-26,-55,-68,-37,16
AU,Australia,Victoria,,AU-VIC,,30/3/20,-43,-16,-22,-66,-40,18
AU,Australia,Victoria,,AU-VIC,,31/3/20,-46,-20,-35,-69,-44,21
AU,Australia,Victoria,,AU-VIC,,1/4/20,-45,-18,-34,-69,-44,21
AU,Australia,Victoria,,AU-VIC,,2/4/20,-49,-21,-59,-72,-46,24
AU,Australia,Victoria,,AU-VIC,,3/4/20,-43,-12,-43,-69,-44,23
AU,Australia,Victoria,,AU-VIC,,4/4/20,-52,-22,-74,-70,-38,21
AU,Australia,Victoria,,AU-VIC,,5/4/20,-52,-26,-75,-74,-42,18
AU,Australia,Victoria,,AU-VIC,,6/4/20,-42,-16,-34,-69,-43,20
AU,Australia,Victoria,,AU-VIC,,7/4/20,-44,-17,-46,-70,-46,22
AU,Australia,Victoria,,AU-VIC,,8/4/20,-41,-11,-41,-69,-45,21
AU,Australia,Victoria,,AU-VIC,,9/4/20,-34,9,-32,-68,-46,21
AU,Australia,Victoria,,AU-VIC,,10/4/20,-79,-68,-41,-81,-84,36
AU,Australia,Victoria,,AU-VIC,,11/4/20,-46,-4,-73,-72,-45,22
AU,Australia,Victoria,,AU-VIC,,12/4/20,-59,-40,-62,-74,-47,18
AU,Australia,Victoria,,AU-VIC,,13/4/20,-48,-23,-8,-79,-80,29
AU,Australia,Victoria,,AU-VIC,,14/4/20,-42,-14,-42,-71,-47,22
AU,Australia,Victoria,,AU-VIC,,15/4/20,-43,-15,-40,-70,-45,22
AU,Australia,Victoria,,AU-VIC,,16/4/20,-45,-13,-42,-70,-44,23
AU,Australia,Victoria,,AU-VIC,,17/4/20,-41,-9,-47,-68,-43,23
AU,Australia,Victoria,,AU-VIC,,18/4/20,-47,-13,-54,-63,-33,19
AU,Australia,Victoria,,AU-VIC,,19/4/20,-49,-19,-44,-66,-37,16
AU,Australia,Victoria,,AU-VIC,,20/4/20,-46,-18,-36,-69,-41,20
AU,Australia,Victoria,,AU-VIC,,21/4/20,-44,-18,-39,-68,-42,21
AU,Australia,Victoria,,AU-VIC,,22/4/20,-44,-16,-40,-68,-42,21
AU,Australia,Victoria,,AU-VIC,,23/4/20,-45,-15,-43,-68,-42,22
AU,Australia,Victoria,,AU-VIC,,24/4/20,-39,-8,-34,-65,-41,21
AU,Australia,Victoria,,AU-VIC,,25/4/20,-49,-22,-41,-62,-44,20
AU,Australia,Victoria,,AU-VIC,,26/4/20,-45,-9,-63,-67,-37,16
AU,Australia,Victoria,,AU-VIC,,27/4/20,-41,-14,-21,-67,-41,19
AU,Australia,Victoria,,AU-VIC,,28/4/20,-42,-16,-39,-68,-42,19
AU,Australia,Victoria,,AU-VIC,,29/4/20,-47,-22,-68,-71,-42,16
AU,Australia,Victoria,,AU-VIC,,30/4/20,-44,-12,-56,-69,-42,22
AU,Australia,Victoria,,AU-VIC,,1/5/20,-42,-13,-66,-69,-41,23
AU,Australia,Victoria,,AU-VIC,,2/5/20,-42,-7,-67,-62,-32,19
AU,Australia,Victoria,,AU-VIC,,3/5/20,-42,-12,-50,-63,-34,15
AU,Australia,Victoria,,AU-VIC,,4/5/20,-41,-14,-39,-66,-38,18
AU,Australia,Victoria,,AU-VIC,,5/5/20,-39,-14,-26,-64,-39,19
AU,Australia,Victoria,,AU-VIC,,6/5/20,-39,-12,-37,-65,-39,20
AU,Australia,Victoria,,AU-VIC,,7/5/20,-40,-9,-37,-65,-39,20
AU,Australia,Victoria,,AU-VIC,,8/5/20,-33,-1,-33,-62,-38,20
AU,Australia,Victoria,,AU-VIC,,9/5/20,-36,4,-69,-61,-29,18
AU,Australia,Victoria,,AU-VIC,,10/5/20,-37,-11,-46,-61,-30,13
AU,Australia,Victoria,,AU-VIC,,11/5/20,-38,-12,-27,-65,-38,18
AU,Australia,Victoria,,AU-VIC,,12/5/20,-38,-10,-41,-65,-38,19
AU,Australia,Victoria,,AU-VIC,,13/5/20,-37,-9,-40,-64,-37,19
AU,Australia,Victoria,,AU-VIC,,14/5/20,-37,-8,-29,-63,-37,18
AU,Australia,Victoria,,AU-VIC,,15/5/20,-32,-2,-27,-60,-37,18
AU,Australia,Victoria,,AU-VIC,,16/5/20,-32,-1,-11,-47,-25,11
AU,Australia,Victoria,,AU-VIC,,17/5/20,-33,-8,-10,-54,-28,9
AU,Australia,Victoria,,AU-VIC,,18/5/20,-34,-8,-4,-61,-35,16
AU,Australia,Victoria,,AU-VIC,,19/5/20,-36,-9,-36,-63,-37,18
AU,Australia,Victoria,,AU-VIC,,20/5/20,-35,-6,-40,-63,-36,18
AU,Australia,Victoria,,AU-VIC,,21/5/20,-37,-7,-49,-64,-37,19
AU,Australia,Victoria,,AU-VIC,,22/5/20,-30,1,-38,-60,-35,18
AU,Australia,Victoria,,AU-VIC,,23/5/20,-31,3,-53,-51,-22,13
AU,Australia,Victoria,,AU-VIC,,24/5/20,-33,-7,-32,-54,-26,10
AU,Australia,Victoria,,AU-VIC,,25/5/20,-29,-4,-2,-59,-33,15
AU,Australia,Victoria,,AU-VIC,,26/5/20,-32,-6,-18,-58,-30,15
AU,Australia,Victoria,,AU-VIC,,27/5/20,-32,-4,-27,-58,-29,16
AU,Australia,Victoria,,AU-VIC,,28/5/20,-33,-4,-22,-58,-29,16
AU,Australia,Victoria,,AU-VIC,,29/5/20,-27,2,-19,-55,-28,15
AU,Australia,Victoria,,AU-VIC,,30/5/20,-26,4,-7,-43,-15,10
AU,Australia,Victoria,,AU-VIC,,31/5/20,-30,-4,-25,-53,-21,10
AU,Australia,Victoria,,AU-VIC,,1/6/20,-32,-13,-56,-61,-27,15
AU,Australia,Victoria,,AU-VIC,,2/6/20,-29,-5,-40,-58,-28,15
AU,Australia,Victoria,,AU-VIC,,3/6/20,-27,-4,-33,-57,-28,15
AU,Australia,Victoria,,AU-VIC,,4/6/20,-26,-3,-15,-55,-27,14
AU,Australia,Victoria,,AU-VIC,,5/6/20,-19,5,-18,-52,-28,13
AU,Australia,Victoria,,AU-VIC,,6/6/20,-22,2,-22,-40,-17,9
AU,Australia,Victoria,,AU-VIC,,7/6/20,-23,-7,-14,-50,-21,6
AU,Australia,Victoria,,AU-VIC,,8/6/20,-18,0,56,-67,-73,18
AU,Australia,Victoria,,AU-VIC,,9/6/20,-24,-1,-23,-55,-27,13
AU,Australia,Victoria,,AU-VIC,,10/6/20,-25,-4,-21,-54,-24,13
AU,Australia,Victoria,,AU-VIC,,11/6/20,-25,-3,-19,-53,-24,13
AU,Australia,Victoria,,AU-VIC,,12/6/20,-19,2,-21,-51,-24,12
AU,Australia,Western Australia,,AU-WA,,15/2/20,7,3,-1,12,2,0
AU,Australia,Western Australia,,AU-WA,,16/2/20,5,4,2,2,0,1
AU,Australia,Western Australia,,AU-WA,,17/2/20,-1,0,-7,8,17,-1
AU,Australia,Western Australia,,AU-WA,,18/2/20,-1,1,-2,8,16,-1
AU,Australia,Western Australia,,AU-WA,,19/2/20,-1,0,-3,7,15,-1
AU,Australia,Western Australia,,AU-WA,,20/2/20,0,0,-4,8,15,-1
AU,Australia,Western Australia,,AU-WA,,21/2/20,2,3,-4,8,16,-2
AU,Australia,Western Australia,,AU-WA,,22/2/20,5,5,1,6,3,0
AU,Australia,Western Australia,,AU-WA,,23/2/20,8,3,-2,11,1,0
AU,Australia,Western Australia,,AU-WA,,24/2/20,-2,0,-14,10,17,-1
AU,Australia,Western Australia,,AU-WA,,25/2/20,-2,-1,-11,12,17,-1
AU,Australia,Western Australia,,AU-WA,,26/2/20,-3,0,-20,9,16,-1
AU,Australia,Western Australia,,AU-WA,,27/2/20,-3,-3,-28,9,15,0
AU,Australia,Western Australia,,AU-WA,,28/2/20,0,5,-15,6,14,-1
AU,Australia,Western Australia,,AU-WA,,29/2/20,3,6,5,0,1,0
AU,Australia,Western Australia,,AU-WA,,1/3/20,8,7,18,10,-1,-1
AU,Australia,Western Australia,,AU-WA,,2/3/20,-5,3,31,-29,-62,12
AU,Australia,Western Australia,,AU-WA,,3/3/20,0,15,-5,9,17,-2
AU,Australia,Western Australia,,AU-WA,,4/3/20,-1,18,-6,7,17,-1
AU,Australia,Western Australia,,AU-WA,,5/3/20,0,14,-7,8,16,-1
AU,Australia,Western Australia,,AU-WA,,6/3/20,1,15,-8,5,18,-1
AU,Australia,Western Australia,,AU-WA,,7/3/20,4,14,3,-1,5,1
AU,Australia,Western Australia,,AU-WA,,8/3/20,4,9,3,-2,1,1
AU,Australia,Western Australia,,AU-WA,,9/3/20,-2,8,-9,5,18,-1
AU,Australia,Western Australia,,AU-WA,,10/3/20,-2,9,-1,9,17,-1
AU,Australia,Western Australia,,AU-WA,,11/3/20,-3,10,-4,5,16,-1
AU,Australia,Western Australia,,AU-WA,,12/3/20,0,13,-6,4,16,-1
AU,Australia,Western Australia,,AU-WA,,13/3/20,0,18,-8,1,17,-1
AU,Australia,Western Australia,,AU-WA,,14/3/20,1,23,-21,-13,3,3
AU,Australia,Western Australia,,AU-WA,,15/3/20,-1,27,-18,-15,1,3
AU,Australia,Western Australia,,AU-WA,,16/3/20,-2,34,-16,-5,15,1
AU,Australia,Western Australia,,AU-WA,,17/3/20,-5,38,-30,-10,11,2
AU,Australia,Western Australia,,AU-WA,,18/3/20,-5,41,-22,-14,9,3
AU,Australia,Western Australia,,AU-WA,,19/3/20,-7,28,-24,-14,7,4
AU,Australia,Western Australia,,AU-WA,,20/3/20,-10,25,-19,-21,5,5
AU,Australia,Western Australia,,AU-WA,,21/3/20,-15,16,-21,-29,-3,7
AU,Australia,Western Australia,,AU-WA,,22/3/20,-17,10,-20,-32,-9,7
AU,Australia,Western Australia,,AU-WA,,23/3/20,-16,20,-24,-27,-1,7
AU,Australia,Western Australia,,AU-WA,,24/3/20,-23,14,-19,-32,-8,9
AU,Australia,Western Australia,,AU-WA,,25/3/20,-25,13,-27,-40,-13,11
AU,Australia,Western Australia,,AU-WA,,26/3/20,-30,5,-26,-45,-18,13
AU,Australia,Western Australia,,AU-WA,,27/3/20,-33,5,-35,-50,-18,15
AU,Australia,Western Australia,,AU-WA,,28/3/20,-37,-4,-43,-54,-23,15
AU,Australia,Western Australia,,AU-WA,,29/3/20,-40,-16,-37,-55,-26,13
AU,Australia,Western Australia,,AU-WA,,30/3/20,-36,-11,-38,-52,-25,15
AU,Australia,Western Australia,,AU-WA,,31/3/20,-35,-9,-33,-52,-28,15
AU,Australia,Western Australia,,AU-WA,,1/4/20,-36,-9,-37,-53,-29,17
AU,Australia,Western Australia,,AU-WA,,2/4/20,-37,-11,-41,-55,-31,18
AU,Australia,Western Australia,,AU-WA,,3/4/20,-36,-5,-39,-58,-28,18
AU,Australia,Western Australia,,AU-WA,,4/4/20,-39,-9,-46,-60,-27,16
AU,Australia,Western Australia,,AU-WA,,5/4/20,-40,-17,-43,-61,-29,14
AU,Australia,Western Australia,,AU-WA,,6/4/20,-34,-10,-32,-56,-29,16
AU,Australia,Western Australia,,AU-WA,,7/4/20,-33,-6,-27,-55,-31,16
AU,Australia,Western Australia,,AU-WA,,8/4/20,-31,-2,-27,-58,-30,16
AU,Australia,Western Australia,,AU-WA,,9/4/20,-23,16,-30,-55,-31,16
AU,Australia,Western Australia,,AU-WA,,10/4/20,-74,-35,-26,-74,-77,31
AU,Australia,Western Australia,,AU-WA,,11/4/20,-32,2,-39,-62,-32,16
AU,Australia,Western Australia,,AU-WA,,12/4/20,-47,-31,-38,-60,-31,14
AU,Australia,Western Australia,,AU-WA,,13/4/20,-43,-23,-11,-69,-73,26
AU,Australia,Western Australia,,AU-WA,,14/4/20,-30,-3,-27,-57,-35,16
AU,Australia,Western Australia,,AU-WA,,15/4/20,-32,-6,-30,-56,-34,17
AU,Australia,Western Australia,,AU-WA,,16/4/20,-32,-6,-25,-56,-34,18
AU,Australia,Western Australia,,AU-WA,,17/4/20,-33,-3,-28,-57,-33,18
AU,Australia,Western Australia,,AU-WA,,18/4/20,-37,-10,-48,-56,-25,15
AU,Australia,Western Australia,,AU-WA,,19/4/20,-40,-20,-43,-56,-27,13
AU,Australia,Western Australia,,AU-WA,,20/4/20,-33,-8,-31,-56,-31,16
AU,Australia,Western Australia,,AU-WA,,21/4/20,-32,-6,-25,-52,-32,16
AU,Australia,Western Australia,,AU-WA,,22/4/20,-32,-5,-33,-55,-32,17
AU,Australia,Western Australia,,AU-WA,,23/4/20,-32,-5,-23,-53,-32,17
AU,Australia,Western Australia,,AU-WA,,24/4/20,-30,2,-29,-55,-30,17
AU,Australia,Western Australia,,AU-WA,,25/4/20,-53,-32,-34,-59,-38,16
AU,Australia,Western Australia,,AU-WA,,26/4/20,-23,,-18,-49,-24,10
AU,Australia,Western Australia,,AU-WA,,27/4/20,-32,-9,2,-61,-70,23
AU,Australia,Western Australia,,AU-WA,,28/4/20,-24,6,-27,-50,-24,12
AU,Australia,Western Australia,,AU-WA,,29/4/20,-28,-1,-25,-49,-21,9
AU,Australia,Western Australia,,AU-WA,,30/4/20,-28,1,-26,-50,-22,14
AU,Australia,Western Australia,,AU-WA,,1/5/20,-27,3,-24,-50,-19,13
AU,Australia,Western Australia,,AU-WA,,2/5/20,-25,2,-14,-47,-20,10
AU,Australia,Western Australia,,AU-WA,,3/5/20,-28,-10,-9,-50,-21,9
AU,Australia,Western Australia,,AU-WA,,4/5/20,-29,-3,-50,-55,-18,13
AU,Australia,Western Australia,,AU-WA,,5/5/20,-28,-1,-44,-51,-18,13
AU,Australia,Western Australia,,AU-WA,,6/5/20,-29,-1,-50,-54,-20,14
AU,Australia,Western Australia,,AU-WA,,7/5/20,-24,6,-38,-49,-18,13
AU,Australia,Western Australia,,AU-WA,,8/5/20,-21,10,-29,-48,-15,12
AU,Australia,Western Australia,,AU-WA,,9/5/20,-14,22,-20,-43,-17,9
AU,Australia,Western Australia,,AU-WA,,10/5/20,-22,0,-4,-43,-16,7
AU,Australia,Western Australia,,AU-WA,,11/5/20,-23,-1,-24,-47,-14,11
AU,Australia,Western Australia,,AU-WA,,12/5/20,-22,1,-18,-44,-14,11
AU,Australia,Western Australia,,AU-WA,,13/5/20,-23,2,-19,-44,-14,11
AU,Australia,Western Australia,,AU-WA,,14/5/20,-23,1,-15,-44,-15,10
AU,Australia,Western Australia,,AU-WA,,15/5/20,-22,7,-21,-44,-13,11
AU,Australia,Western Australia,,AU-WA,,16/5/20,-20,8,-19,-41,-16,8
AU,Australia,Western Australia,,AU-WA,,17/5/20,-22,1,-13,-45,-17,8
AU,Australia,Western Australia,,AU-WA,,18/5/20,-17,3,-27,-44,-9,9
AU,Australia,Western Australia,,AU-WA,,19/5/20,-17,4,-19,-41,-10,9
AU,Australia,Western Australia,,AU-WA,,20/5/20,-17,3,-20,-43,-10,10
AU,Australia,Western Australia,,AU-WA,,21/5/20,-17,2,-18,-41,-11,10
AU,Australia,Western Australia,,AU-WA,,22/5/20,-15,9,-16,-42,-9,9
AU,Australia,Western Australia,,AU-WA,,23/5/20,-12,12,-5,-37,-13,6
AU,Australia,Western Australia,,AU-WA,,24/5/20,-34,-10,-63,-59,-22,11
AU,Australia,Western Australia,,AU-WA,,25/5/20,-25,-6,-51,-50,-14,11
AU,Australia,Western Australia,,AU-WA,,26/5/20,-16,4,-29,-42,-8,9
AU,Australia,Western Australia,,AU-WA,,27/5/20,-16,3,-33,-42,-8,9
AU,Australia,Western Australia,,AU-WA,,28/5/20,-17,3,-39,-42,-9,10
AU,Australia,Western Australia,,AU-WA,,29/5/20,-19,4,-51,-45,-12,10
AU,Australia,Western Australia,,AU-WA,,30/5/20,-13,10,-36,-40,-12,7
AU,Australia,Western Australia,,AU-WA,,31/5/20,-15,0,-28,-44,-13,6
AU,Australia,Western Australia,,AU-WA,,1/6/20,-19,-7,14,-55,-67,17
AU,Australia,Western Australia,,AU-WA,,2/6/20,-14,7,-21,-36,-7,7
AU,Australia,Western Australia,,AU-WA,,3/6/20,-15,4,-16,-39,-6,8
AU,Australia,Western Australia,,AU-WA,,4/6/20,-16,-1,-17,-38,-6,8
AU,Australia,Western Australia,,AU-WA,,5/6/20,-13,5,-16,-38,-5,8
AU,Australia,Western Australia,,AU-WA,,6/6/20,-5,3,-14,-36,-6,6
AU,Australia,Western Australia,,AU-WA,,7/6/20,-10,-1,-22,-44,-10,6
AU,Australia,Western Australia,,AU-WA,,8/6/20,-10,0,-16,-38,-4,7
AU,Australia,Western Australia,,AU-WA,,9/6/20,-10,-1,-9,-36,-4,6
AU,Australia,Western Australia,,AU-WA,,10/6/20,-10,0,-19,-37,-5,7
AU,Australia,Western Australia,,AU-WA,,11/6/20,-12,2,-36,-41,-6,9
AU,Australia,Western Australia,,AU-WA,,12/6/20,-8,7,-37,-39,-5,8